epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.3108413999408385, 0.5379139072847682) (0.29612904286481534, 0.5142384105960265)
40 (0.33763675619929295, 0.5645695364238411) (0.328373761541926, 0.5501655629139073)
60 (0.332834495056797, 0.561092715231788) (0.3237901594431252, 0.5460264900662252)
80 (0.33250643423539145, 0.5561258278145695) (0.31836424203440994, 0.5440397350993378)
100 (0.3277829786938956, 0.5556291390728477) (0.3161974022038224, 0.5458609271523179)
120 (0.32453846239584694, 0.5473509933774835) (0.3154109485135016, 0.5377483443708609)
140 (0.3293060373479831, 0.5599337748344371) (0.3189475345088748, 0.5412251655629139)
160 (0.3143568979464584, 0.544205298013245) (0.3043297964490276, 0.5258278145695364)
180 (0.3150997963879257, 0.5394039735099337) (0.30118082863259726, 0.5253311258278146)
200 (0.31959099512114764, 0.5428807947019868) (0.3078917781277628, 0.5274834437086092)
220 (0.32454440364163234, 0.5495033112582781) (0.3145403893491641, 0.5364238410596026)
240 (0.31870975069922486, 0.5445364238410596) (0.3054521755533646, 0.5271523178807948)
260 (0.30838081168871984, 0.5402317880794701) (0.3032982091368229, 0.5230132450331125)
280 (0.3131803209354946, 0.5402317880794701) (0.3012421722284144, 0.5183774834437086)
300 (0.3207786447720872, 0.5475165562913907) (0.30601043470491396, 0.5254966887417218)
320 (0.3185427214057338, 0.5412251655629139) (0.3038170141497547, 0.5230132450331125)
340 (0.3149616207423675, 0.5471854304635762) (0.29970555374237046, 0.5218543046357615)
360 (0.31447846244113253, 0.5412251655629139) (0.3002559013757999, 0.5147350993377483)
380 (0.3205667172920111, 0.5458609271523179) (0.301574735195679, 0.5223509933774835)
400 (0.3168846939705791, 0.5423841059602649) (0.30527016584508665, 0.5226821192052981)
420 (0.3131267383041731, 0.5432119205298013) (0.29885151364491247, 0.5206953642384106)
440 (0.3149321192664817, 0.5413907284768212) (0.29682125687048466, 0.519205298013245)
460 (0.3153093601751651, 0.5410596026490067) (0.3036298939244387, 0.5281456953642384)
480 (0.31874379347922477, 0.5455298013245033) (0.3068454836773256, 0.5327814569536424)
500 (0.3253945221173929, 0.5473509933774835) (0.3120112782621781, 0.5256622516556292)
