epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.3399664792441209, 0.5905629139072848) (0.32903117827366274, 0.5716887417218544)
40 (0.3936906693438152, 0.6531456953642384) (0.3832452338942547, 0.6341059602649006)
60 (0.41465508974166293, 0.6698675496688742) (0.40056482826309114, 0.6541390728476821)
80 (0.43263951157528036, 0.6900662251655629) (0.41013651251524813, 0.6645695364238411)
100 (0.43986391534014, 0.6966887417218544) (0.4178764447130933, 0.6756622516556291)
120 (0.4391557464187332, 0.7001655629139073) (0.42310331643608357, 0.6786423841059602)
140 (0.4461196617867578, 0.7051324503311258) (0.43018694722651885, 0.6829470198675497)
160 (0.4457857897267077, 0.7067880794701987) (0.4240503981548111, 0.679635761589404)
180 (0.4505344632115931, 0.7115894039735099) (0.42810215182926153, 0.6869205298013245)
200 (0.4521997679993444, 0.7135761589403974) (0.4283592427205071, 0.6847682119205298)
220 (0.45088757209674946, 0.7089403973509933) (0.4246389075150441, 0.6855960264900662)
240 (0.4540492105439678, 0.7149006622516556) (0.43472214211995513, 0.6948675496688742)
260 (0.45144295997312983, 0.7155629139072848) (0.4360086473044216, 0.6950331125827814)
280 (0.4542729083481108, 0.7107615894039735) (0.43676628808482165, 0.6905629139072847)
300 (0.45581775327648383, 0.7162251655629139) (0.4354236612100463, 0.6937086092715232)
320 (0.45693584611458504, 0.7182119205298013) (0.43496655615024293, 0.687748344370861)
340 (0.45578431922148077, 0.7211920529801324) (0.43126324885215334, 0.6890728476821192)
360 (0.45528506620947484, 0.7210264900662252) (0.43670423461075697, 0.6917218543046357)
380 (0.4583830672661783, 0.7223509933774834) (0.43530433072825286, 0.6927152317880795)
400 (0.45827584601721844, 0.7211920529801324) (0.43823942617454925, 0.6928807947019867)
420 (0.45763228157223035, 0.7192052980132451) (0.43824438479999606, 0.6874172185430464)
440 (0.4590133671246551, 0.7180463576158941) (0.43525082604656723, 0.6951986754966888)
460 (0.45687843178586635, 0.7144039735099338) (0.4383098618933179, 0.6961920529801324)
480 (0.4589839251754788, 0.7190397350993377) (0.436009843115794, 0.6907284768211921)
500 (0.460468176850508, 0.7192052980132451) (0.4386292645618863, 0.6927152317880795)
