epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.5428760738918769, 0.8008278145695364) (0.516758570182032, 0.7723509933774835)
40 (0.5874947218561526, 0.827317880794702) (0.5626927112198792, 0.8071192052980133)
60 (0.6014654150890395, 0.8392384105960264) (0.5784213960364368, 0.8149006622516556)
80 (0.6129034896373057, 0.8438741721854305) (0.5813109949044416, 0.8137417218543046)
100 (0.615743031297386, 0.8468543046357616) (0.585202281538192, 0.8183774834437086)
120 (0.6161621357429168, 0.8463576158940397) (0.5844736905549048, 0.8172185430463577)
140 (0.6167044247049084, 0.8433774834437087) (0.5888531492237907, 0.8165562913907285)
160 (0.6186373084479382, 0.8438741721854305) (0.5937801122819327, 0.8206953642384106)
180 (0.6174564899358973, 0.8458609271523179) (0.5913704206596598, 0.820364238410596)
200 (0.6185627088014228, 0.8451986754966887) (0.5912230445316441, 0.8198675496688742)
220 (0.6226007900390219, 0.848841059602649) (0.5906227661633897, 0.8188741721854305)
240 (0.6226706009614252, 0.848841059602649) (0.5948003943971056, 0.8195364238410596)
260 (0.6211246011690988, 0.8478476821192052) (0.5910391207706679, 0.8248344370860927)
280 (0.6232570265550084, 0.8440397350993377) (0.5889528432755431, 0.8218543046357616)
300 (0.624697100623839, 0.8458609271523179) (0.595922797055062, 0.8264900662251655)
320 (0.6193087594931219, 0.8463576158940397) (0.591081537356267, 0.8216887417218544)
340 (0.6227982816687179, 0.8445364238410596) (0.5956883166849581, 0.8231788079470199)
360 (0.6209163760536003, 0.8475165562913908) (0.5923404010983134, 0.825)
380 (0.6218389898700406, 0.8460264900662252) (0.5915383563343454, 0.821523178807947)
400 (0.6204990541431346, 0.8473509933774834) (0.5938932016926148, 0.822682119205298)
420 (0.624064515452378, 0.8475165562913908) (0.5964861499151775, 0.8216887417218544)
440 (0.6223015460839052, 0.8480132450331126) (0.5910662225030665, 0.8206953642384106)
460 (0.6219326415107811, 0.846523178807947) (0.5955483836455207, 0.8210264900662252)
480 (0.6240570579777995, 0.85) (0.5932594971826355, 0.8211920529801324)
500 (0.624193854475551, 0.8501655629139073) (0.5895290046574045, 0.820364238410596)
