epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.5094145245100942, 0.7697019867549669) (0.4852977254786323, 0.7445364238410596)
40 (0.5499892297461303, 0.7968543046357616) (0.5238692976252358, 0.7715231788079471)
60 (0.5598800076190148, 0.8003311258278145) (0.5320860721933242, 0.7759933774834437)
80 (0.5611895218350844, 0.7973509933774835) (0.533900565170564, 0.7728476821192053)
100 (0.5506873120178043, 0.7897350993377483) (0.5289603669191294, 0.7688741721854304)
120 (0.5495626681052431, 0.7817880794701987) (0.526933716940413, 0.7700331125827815)
140 (0.5454014149617475, 0.7837748344370861) (0.522307304995347, 0.7635761589403973)
160 (0.5376919242262126, 0.7756622516556292) (0.5173084275181407, 0.7586092715231788)
180 (0.5316819334730803, 0.7774834437086092) (0.5089897796453705, 0.7566225165562914)
200 (0.5273824284661189, 0.7690397350993378) (0.5042500424517627, 0.7521523178807947)
220 (0.5263406359255711, 0.7675496688741722) (0.5062164185880699, 0.7483443708609272)
240 (0.5298682925604461, 0.7720198675496689) (0.5014759796934796, 0.748841059602649)
260 (0.518345896057409, 0.7622516556291391) (0.4998368307479498, 0.7369205298013245)
280 (0.5240835063733438, 0.7655629139072848) (0.5080181488463938, 0.7447019867549669)
300 (0.5189889430892162, 0.7637417218543047) (0.4984911128940492, 0.7453642384105961)
320 (0.5160877482940388, 0.7612582781456954) (0.4985922811284498, 0.7408940397350994)
340 (0.5178297426731128, 0.7612582781456954) (0.4951738376901245, 0.7394039735099338)
360 (0.5161833889141703, 0.7594370860927152) (0.4938825430874119, 0.7327814569536424)
380 (0.5125335368853868, 0.7564569536423841) (0.49752908078836716, 0.7374172185430463)
400 (0.5109073968142942, 0.7495033112582782) (0.4935843787914712, 0.7336092715231788)
420 (0.5057864263517259, 0.7493377483443708) (0.4877169812637127, 0.7314569536423841)
440 (0.5130949223813017, 0.7552980132450331) (0.4941585963288314, 0.739569536423841)
460 (0.5114639960849997, 0.753476821192053) (0.4952150292514442, 0.7403973509933774)
480 (0.5108058265549813, 0.7577814569536424) (0.4957714220188807, 0.7382450331125828)
500 (0.5078512229735501, 0.7536423841059603) (0.4883734546330257, 0.7332781456953642)
